Keyword,Language,Country,Search Intent,Primary/Secondary,Relevant URL,Current Position,Impressions,Clicks,CTR,Search Volume,Keyword Difficulty,CPC,SERP Competition,Content Fit,Business Value,Cannibalization Risk,Current Page Quality,Priority,Recommended Action
"accurate ca",en,US/Global,Informational/Calculational,Primary,"https://freeaccuratecalculator.com/",9.00,6,0,0.00%,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,High,Exact,High,None,High,P0,"Optimize homepage title tag & meta description to capture exact-match intent for accurate online calculators"
"formule gra",fr,France,Informational/Educational,Primary,"https://freeaccuratecalculator.com/countries/france/",8.00,1,0,0.00%,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Moderate,High,Medium,None,High,P1,"Refine French guides and formula explanations on French hub and calculation pages"
"exact calcu",en,US/Global,Informational/Calculational,Primary,"https://freeaccuratecalculator.com/",63.00,1,0,0.00%,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,High,Exact,High,None,High,P1,"Strengthen semantic precision terms (exact math, arbitrary precision) in homepage and core hub copy"
"reliable calc",en,US/Global,Informational/Calculational,Primary,"https://freeaccuratecalculator.com/",83.00,1,0,0.00%,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,High,Exact,High,None,High,P1,"Add reliability proof, double-verification methodology badges and citations"
"sip calculator",en,India/Global,Calculational/Transactional,Primary,"https://freeaccuratecalculator.com/finance/sip-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Moderate (vs /countries/india/sip-calculator/),Exceptional,P0,"Maintain rich educational content, add step-up SIP cross-links, ensure schema is valid"
"emi calculator",en,India/Global,Calculational/Transactional,Primary,"https://freeaccuratecalculator.com/finance/emi-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Moderate (vs /countries/india/emi-calculator/),Exceptional,P0,"Keep amortisation table interactive, link from country hubs and mortgage cluster"
"percentage calculator",en,Global,Calculational/Educational,Primary,"https://freeaccuratecalculator.com/math/percentage-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Low,Exceptional,P0,"Optimize 3-way calculation UI, ensure fast mobile load, multi-language hreflang alignment"
"age calculator",en,Global,Calculational/Personal,Primary,"https://freeaccuratecalculator.com/everyday/age-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Low,Exceptional,P0,"Leverage exact millisecond & chronometric calculations, add next birthday countdown"
"bmi calculator",en,Global,Calculational/Health,Primary,"https://freeaccuratecalculator.com/health/bmi-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Low,Exceptional,P0,"Promote WHO classification visual scale, calorie/BMR cross-recommendations"
"income tax calculator",en,US/Global,Calculational/Financial,Primary,"https://freeaccuratecalculator.com/finance/income-tax-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,Very High,Low,Exceptional,P0,"Highlight 2025/2026 US Federal/State brackets and multi-country tax switcher"
"compound interest calculator",en,Global,Calculational/Financial,Primary,"https://freeaccuratecalculator.com/finance/compound-interest-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,High,Low,High,P1,"Add interactive breakdown and yearly compounding chart"
"mortgage calculator",en,US/Global,Calculational/Financial,Primary,"https://freeaccuratecalculator.com/finance/mortgage-calculator/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Very High,Exact,High,Low,High,P1,"Highlight PITI (Principal, Interest, Taxes, Insurance) and amortization schedule"
"simulateur salaire brut net",fr,France,Calculational/Financial,Primary,"https://freeaccuratecalculator.com/countries/france/simulateur-salaire-brut-net/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,High,Exact,High,Low,High,P1,"Target 2026 French statutory charges (URSSAF, cadre vs non-cadre)",
"frais de notaire",fr,France,Calculational/Real Estate,Primary,"https://freeaccuratecalculator.com/countries/france/frais-de-notaire/",UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,High,Exact,High,Low,High,P1,"Provide departmental rate breakdown and 10 top city programmatic pages"
