"Year","Month","Beginning Balance ($)","Monthly EMI ($)","Principal Paid ($)","Interest Paid ($)","Prepayment / Extra ($)","Ending Balance ($)","Cumulative Interest ($)"
1,1,300000.00,1995.91,370.91,1625.00,0.00,299629.09,1625.00
1,2,299629.09,1995.91,372.92,1622.99,0.00,299256.17,3247.99
1,3,299256.17,1995.91,374.94,1620.97,0.00,298881.23,4868.96
1,4,298881.23,1995.91,376.97,1618.94,0.00,298504.26,6487.90
1,5,298504.26,1995.91,379.01,1616.90,0.00,298125.25,8104.80
1,6,298125.25,1995.91,381.06,1614.85,0.00,297744.19,9719.65
1,7,297744.19,1995.91,383.12,1612.79,0.00,297361.07,11332.44
1,8,297361.07,1995.91,385.20,1610.71,0.00,296975.87,12943.15
1,9,296975.87,1995.91,387.29,1608.62,0.00,296588.58,14551.77
1,10,296588.58,1995.91,389.39,1606.52,0.00,296199.19,16158.29
1,11,296199.19,1995.91,391.50,1604.41,0.00,295807.69,17762.70
1,12,295807.69,1995.91,393.62,1602.29,0.00,295414.07,19364.99
2,13,295414.07,1995.91,395.75,1600.16,0.00,295018.32,20965.15
2,14,295018.32,1995.91,397.89,1598.02,0.00,294620.43,22563.17
2,15,294620.43,1995.91,400.05,1595.86,0.00,294220.38,24159.03
2,16,294220.38,1995.91,402.22,1593.69,0.00,293818.16,25752.72
2,17,293818.16,1995.91,404.40,1591.51,0.00,293413.76,27344.23
2,18,293413.76,1995.91,406.59,1589.32,0.00,293007.17,28933.55
2,19,293007.17,1995.91,408.79,1587.12,0.00,292598.38,30520.67
2,20,292598.38,1995.91,411.00,1584.91,0.00,292187.38,32105.58
2,21,292187.38,1995.91,413.23,1582.68,0.00,291774.15,33688.26
2,22,291774.15,1995.91,415.47,1580.44,0.00,291358.68,35268.70
2,23,291358.68,1995.91,417.72,1578.19,0.00,290940.96,36846.89
2,24,290940.96,1995.91,419.98,1575.93,0.00,290520.98,38422.82
3,25,290520.98,1995.91,422.26,1573.65,0.00,290098.72,39996.47
3,26,290098.72,1995.91,424.55,1571.36,0.00,289674.17,41567.83
3,27,289674.17,1995.91,426.85,1569.06,0.00,289247.32,43136.89
3,28,289247.32,1995.91,429.16,1566.75,0.00,288818.16,44703.64
3,29,288818.16,1995.91,431.48,1564.43,0.00,288386.68,46268.07
3,30,288386.68,1995.91,433.82,1562.09,0.00,287952.86,47830.16
3,31,287952.86,1995.91,436.17,1559.74,0.00,287516.69,49389.90
3,32,287516.69,1995.91,438.53,1557.38,0.00,287078.16,50947.28
3,33,287078.16,1995.91,440.90,1555.01,0.00,286637.26,52502.29
3,34,286637.26,1995.91,443.29,1552.62,0.00,286193.97,54054.91
3,35,286193.97,1995.91,445.69,1550.22,0.00,285748.28,55605.13
3,36,285748.28,1995.91,448.10,1547.81,0.00,285300.18,57152.94
4,37,285300.18,1995.91,450.53,1545.38,0.00,284849.65,58698.32
4,38,284849.65,1995.91,452.97,1542.94,0.00,284396.68,60241.26
4,39,284396.68,1995.91,455.42,1540.49,0.00,283941.26,61781.75
4,40,283941.26,1995.91,457.89,1538.02,0.00,283483.37,63319.77
4,41,283483.37,1995.91,460.37,1535.54,0.00,283023.00,64855.31
4,42,283023.00,1995.91,462.86,1533.05,0.00,282560.14,66388.36
4,43,282560.14,1995.91,465.37,1530.54,0.00,282094.77,67918.90
4,44,282094.77,1995.91,467.89,1528.02,0.00,281626.88,69446.92
4,45,281626.88,1995.91,470.42,1525.49,0.00,281156.46,70972.41
4,46,281156.46,1995.91,472.97,1522.94,0.00,280683.49,72495.35
4,47,280683.49,1995.91,475.53,1520.38,0.00,280207.96,74015.73
4,48,280207.96,1995.91,478.11,1517.80,0.00,279729.85,75533.53
5,49,279729.85,1995.91,480.70,1515.21,0.00,279249.15,77048.74
5,50,279249.15,1995.91,483.30,1512.61,0.00,278765.85,78561.35
5,51,278765.85,1995.91,485.92,1509.99,0.00,278279.93,80071.34
5,52,278279.93,1995.91,488.55,1507.36,0.00,277791.38,81578.70
5,53,277791.38,1995.91,491.20,1504.71,0.00,277300.18,83083.41
5,54,277300.18,1995.91,493.86,1502.05,0.00,276806.32,84585.46
5,55,276806.32,1995.91,496.53,1499.38,0.00,276309.79,86084.84
5,56,276309.79,1995.91,499.22,1496.69,0.00,275810.57,87581.53
5,57,275810.57,1995.91,501.93,1493.98,0.00,275308.64,89075.51
5,58,275308.64,1995.91,504.65,1491.26,0.00,274803.99,90566.77
5,59,274803.99,1995.91,507.38,1488.53,0.00,274296.61,92055.30
5,60,274296.61,1995.91,510.13,1485.78,0.00,273786.48,93541.08
